order_id,customer_id,product_id,quantity,revenue,discount,date
1,56,13,4,4560000,0.05,2023-02-09
2,103,15,3,5130000,0.05,2023-12-25
3,115,1,2,30600000,0.15,2024-11-06
4,169,9,3,13500000,0.1,2023-03-13
5,329,17,5,24750000,0.1,2024-02-14
6,481,1,3,51300000,0.05,2023-04-29
7,298,9,1,4250000,0.15,2023-02-09
8,177,11,5,22500000,0.0,2024-03-22
9,198,19,3,6600000,0.0,2023-07-14
10,363,14,5,13300000,0.05,2023-01-02
11,187,14,3,7560000,0.1,2023-03-13
12,340,4,5,1575000,0.1,2023-11-04
13,342,14,4,10080000,0.1,2023-12-01
14,284,5,4,10880000,0.15,2023-07-16
15,347,6,5,11250000,0.1,2024-09-22
16,208,18,3,16200000,0.1,2023-01-01
17,108,14,5,12600000,0.1,2024-08-16
18,239,15,2,3060000,0.15,2024-03-28
19,407,6,1,2250000,0.1,2024-11-05
20,264,20,1,19950000,0.05,2023-12-10
21,345,10,2,13300000,0.05,2023-08-19
22,13,2,4,48000000,0.0,2023-09-08
23,234,14,5,13300000,0.05,2024-10-06
24,368,13,4,4560000,0.05,2024-05-21
25,76,1,4,68400000,0.05,2023-04-20
26,91,17,1,5225000,0.05,2024-04-20
27,470,4,2,595000,0.15,2024-04-12
28,342,17,5,24750000,0.1,2024-07-26
29,487,15,5,7650000,0.15,2024-09-19
30,426,18,2,10200000,0.15,2024-04-01
31,231,9,3,12750000,0.15,2023-09-11
32,321,8,4,14000000,0.0,2023-10-09
33,366,10,3,18900000,0.1,2023-08-29
34,164,18,2,11400000,0.05,2023-03-24
35,119,13,2,2400000,0.0,2023-06-06
36,213,14,5,11900000,0.15,2023-12-05
37,213,2,4,40800000,0.15,2023-07-31
38,464,19,5,9350000,0.15,2023-01-21
39,245,1,3,45900000,0.15,2023-12-27
40,437,14,5,13300000,0.05,2024-07-05
41,250,8,4,11900000,0.15,2023-10-07
42,15,13,4,4560000,0.05,2023-12-11
43,431,15,5,9000000,0.0,2023-05-11
44,465,13,5,6000000,0.0,2024-08-29
45,43,14,4,10640000,0.05,2023-05-19
46,26,9,3,14250000,0.05,2024-01-24
47,233,11,4,16200000,0.1,2023-12-12
48,386,14,1,2380000,0.15,2023-09-16
49,10,18,3,17100000,0.05,2023-02-23
50,333,3,1,850000,0.0,2024-10-29
51,487,8,1,3325000,0.05,2023-07-24
52,123,5,1,3040000,0.05,2024-04-29
53,239,9,2,10000000,0.0,2024-01-13
54,399,6,1,2500000,0.0,2023-11-15
55,476,10,4,23800000,0.15,2024-08-12
56,483,7,5,21375000,0.05,2023-03-19
57,53,10,5,35000000,0.0,2024-12-01
58,408,19,3,5610000,0.15,2023-02-12
59,339,12,5,40500000,0.1,2023-03-12
60,7,14,1,2380000,0.15,2024-05-16
61,492,12,4,34200000,0.05,2024-10-12
62,223,6,3,6375000,0.15,2024-06-18
63,239,14,3,7560000,0.1,2024-08-29
64,437,8,3,8925000,0.15,2023-03-30
65,125,15,5,7650000,0.15,2024-08-06
66,173,1,3,51300000,0.05,2024-05-21
67,250,7,3,12150000,0.1,2023-12-30
68,144,20,5,105000000,0.0,2023-10-10
69,265,7,2,7650000,0.15,2023-03-29
70,251,18,4,20400000,0.15,2023-09-04
71,230,1,3,51300000,0.05,2023-04-06
72,208,8,5,15750000,0.1,2023-11-10
